patch,cell,baseline,c0,c1,c2
7,1,2665248,0,8.703220191470844e-05,0
7,2,964399,0,9.620935154897056e-05,0
7,3,350661,0,9.67305088024763e-05,0
7,4,1565077,0,0.00011160714285714285,0
7,5,3899599,0,0.00017448961786773688,0
7,6,226805,0,0.00010836584308625921,0
7,7,1105593,0,0.00011397310234784591,0
7,8,-1106367,0,9.038592076589414e-07,0
7,9,3292901,0,8.552125203112974e-05,0
7,10,-2718304,0,3.678764406041414e-07,0
7,11,-3922764,0,2.5492229458616424e-07,0
7,12,3170176,0,8.296689620841284e-05,0
7,13,3899603,0,0.00017482517482517483,0
7,14,2085487,0,9.44911650760654e-05,0
7,15,3899777,0,0.0001787629603146228,0
8,0,-3922967,0,2.549091032374221e-07,0
8,1,-3922954,0,2.5490994796268324e-07,0
8,2,3902263,0,0.0001892863903085368,0
8,3,-2550728,0,3.920449377589457e-07,0
8,4,-3923191,0,2.5489454885066773e-07,0
8,5,-3923256,0,2.548903257906188e-07,0
8,6,-3923401,0,2.548809056224434e-07,0
8,7,-3923276,0,2.5488902641567913e-07,0
8,8,-3922980,0,2.5490825851775946e-07,0
8,9,3902123,0,0.00018422991893883567,0
8,10,175835,0,2.5505649501364554e-05,0
8,11,-3923117,0,2.5489935681245297e-07,0
8,12,-3923200,0,2.548939641109299e-07,0
8,13,-2960120,0,3.378241422645028e-07,0
8,14,3902356,0,0.00019821605550049553,0
8,15,2580988,0,1.3160838608636143e-05,0
